Serial No.,GRE Score,TOEFL Score,University Rating,SOP,LOR ,CGPA,Research,Chance of Admit 
176,320,111,4,4.5,3.5,8.87,1,HIGH
177,329,119,4,4.5,4.5,9.16,1,HIGH
178,319,110,3,3.5,3.5,9.04,0,HIGH
179,309,108,3,2.5,3,8.12,0,HIGH
180,307,102,3,3,3,8.27,0,HIGH
181,300,104,3,3.5,3,8.16,0,HIGH
182,305,107,2,2.5,2.5,8.42,0,HIGH
183,299,100,2,3,3.5,7.88,0,HIGH
184,314,110,3,4,4,8.8,0,HIGH
185,316,106,2,2.5,4,8.32,0,HIGH
186,327,113,4,4.5,4.5,9.11,1,HIGH
187,317,107,3,3.5,3,8.68,1,HIGH
188,335,118,5,4.5,3.5,9.44,1,HIGH
189,331,115,5,4.5,3.5,9.36,1,HIGH
190,324,112,5,5,5,9.08,1,HIGH
191,324,111,5,4.5,4,9.16,1,HIGH
192,323,110,5,4,5,8.98,1,HIGH
193,322,114,5,4.5,4,8.94,1,HIGH
194,336,118,5,4.5,5,9.53,1,HIGH
195,316,109,3,3.5,3,8.76,0,HIGH
196,307,107,2,3,3.5,8.52,1,HIGH
197,306,105,2,3,2.5,8.26,0,HIGH
198,310,106,2,3.5,2.5,8.33,0,HIGH
199,311,104,3,4.5,4.5,8.43,0,HIGH
200,313,107,3,4,4.5,8.69,0,HIGH
201,317,103,3,2.5,3,8.54,1,HIGH
202,315,110,2,3.5,3,8.46,1,HIGH
203,340,120,5,4.5,4.5,9.91,1,HIGH
204,334,120,5,4,5,9.87,1,HIGH
205,298,105,3,3.5,4,8.54,0,HIGH
206,295,99,2,2.5,3,7.65,0,HIGH
207,315,99,2,3.5,3,7.89,0,HIGH
208,310,102,3,3.5,4,8.02,1,HIGH
209,305,106,2,3,3,8.16,0,HIGH
210,301,104,3,3.5,4,8.12,1,HIGH
211,325,108,4,4.5,4,9.06,1,HIGH
212,328,110,4,5,4,9.14,1,HIGH
213,338,120,4,5,5,9.66,1,HIGH
214,333,119,5,5,4.5,9.78,1,HIGH
215,331,117,4,4.5,5,9.42,1,HIGH
216,330,116,5,5,4.5,9.36,1,HIGH
217,322,112,4,4.5,4.5,9.26,1,HIGH
218,321,109,4,4,4,9.13,1,HIGH
219,324,110,4,3,3.5,8.97,1,HIGH
220,312,104,3,3.5,3.5,8.42,0,HIGH
221,313,103,3,4,4,8.75,0,HIGH
222,316,110,3,3.5,4,8.56,0,HIGH
223,324,113,4,4.5,4,8.79,0,HIGH
224,308,109,2,3,4,8.45,0,HIGH
225,305,105,2,3,2,8.23,0,HIGH
226,296,99,2,2.5,2.5,8.03,0,HIGH
227,306,110,2,3.5,4,8.45,0,HIGH
228,312,110,2,3.5,3,8.53,0,HIGH
229,318,112,3,4,3.5,8.67,0,HIGH
230,324,111,4,3,3,9.01,1,HIGH
231,313,104,3,4,4.5,8.65,0,HIGH
232,319,106,3,3.5,2.5,8.33,1,HIGH
233,312,107,2,2.5,3.5,8.27,0,HIGH
234,304,100,2,2.5,3.5,8.07,0,HIGH
235,330,113,5,5,4,9.31,1,HIGH
236,326,111,5,4.5,4,9.23,1,HIGH
237,325,112,4,4,4.5,9.17,1,HIGH
238,329,114,5,4.5,5,9.19,1,HIGH
239,310,104,3,2,3.5,8.37,0,HIGH
240,299,100,1,1.5,2,7.89,0,HIGH
241,296,101,1,2.5,3,7.68,0,HIGH
242,317,103,2,2.5,2,8.15,0,HIGH
243,324,115,3,3.5,3,8.76,1,HIGH
244,325,114,3,3.5,3,9.04,1,HIGH
245,314,107,2,2.5,4,8.56,0,HIGH
246,328,110,4,4,2.5,9.02,1,HIGH
247,316,105,3,3,3.5,8.73,0,HIGH
248,311,104,2,2.5,3.5,8.48,0,HIGH
249,324,110,3,3.5,4,8.87,1,HIGH
250,321,111,3,3.5,4,8.83,1,HIGH
251,320,104,3,3,2.5,8.57,1,HIGH
252,316,99,2,2.5,3,9,0,HIGH
253,318,100,2,2.5,3.5,8.54,1,HIGH
254,335,115,4,4.5,4.5,9.68,1,HIGH
255,321,114,4,4,5,9.12,0,HIGH
256,307,110,4,4,4.5,8.37,0,HIGH
257,309,99,3,4,4,8.56,0,HIGH
258,324,100,3,4,5,8.64,1,HIGH
259,326,102,4,5,5,8.76,1,HIGH
260,331,119,4,5,4.5,9.34,1,HIGH
261,327,108,5,5,3.5,9.13,1,HIGH
262,312,104,3,3.5,4,8.09,0,HIGH
263,308,103,2,2.5,4,8.36,1,HIGH
264,324,111,3,2.5,1.5,8.79,1,HIGH
265,325,110,2,3,2.5,8.76,1,HIGH
266,313,102,3,2.5,2.5,8.68,0,HIGH
267,312,105,2,2,2.5,8.45,0,HIGH
268,314,107,3,3,3.5,8.17,1,HIGH
269,327,113,4,4.5,5,9.14,0,HIGH
270,308,108,4,4.5,5,8.34,0,HIGH
271,306,105,2,2.5,3,8.22,1,HIGH
272,299,96,2,1.5,2,7.86,0,HIGH
273,294,95,1,1.5,1.5,7.64,0,LOW
274,312,99,1,1,1.5,8.01,1,HIGH
275,315,100,1,2,2.5,7.95,0,HIGH
276,322,110,3,3.5,3,8.96,1,HIGH
277,329,113,5,5,4.5,9.45,1,HIGH
278,320,101,2,2.5,3,8.62,0,HIGH
279,308,103,2,3,3.5,8.49,0,HIGH
280,304,102,2,3,4,8.73,0,HIGH
281,311,102,3,4.5,4,8.64,1,HIGH
282,317,110,3,4,4.5,9.11,1,HIGH
283,312,106,3,4,3.5,8.79,1,HIGH
284,321,111,3,2.5,3,8.9,1,HIGH
285,340,112,4,5,4.5,9.66,1,HIGH
286,331,116,5,4,4,9.26,1,HIGH
287,336,118,5,4.5,4,9.19,1,HIGH
288,324,114,5,5,4.5,9.08,1,HIGH
289,314,104,4,5,5,9.02,0,HIGH
290,313,109,3,4,3.5,9,0,HIGH
291,307,105,2,2.5,3,7.65,0,HIGH
292,300,102,2,1.5,2,7.87,0,HIGH
293,302,99,2,1,2,7.97,0,HIGH
294,312,98,1,3.5,3,8.18,1,HIGH
295,316,101,2,2.5,2,8.32,1,HIGH
296,317,100,2,3,2.5,8.57,0,HIGH
297,310,107,3,3.5,3.5,8.67,0,HIGH
298,320,120,3,4,4.5,9.11,0,HIGH
299,330,114,3,4.5,4.5,9.24,1,HIGH
300,305,112,3,3,3.5,8.65,0,HIGH
301,309,106,2,2.5,2.5,8,0,HIGH
302,319,108,2,2.5,3,8.76,0,HIGH
303,322,105,2,3,3,8.45,1,HIGH
304,323,107,3,3.5,3.5,8.55,1,HIGH
305,313,106,2,2.5,2,8.43,0,HIGH
306,321,109,3,3.5,3.5,8.8,1,HIGH
307,323,110,3,4,3.5,9.1,1,HIGH
308,325,112,4,4,4,9,1,HIGH
309,312,108,3,3.5,3,8.53,0,HIGH
310,308,110,4,3.5,3,8.6,0,HIGH
311,320,104,3,3,3.5,8.74,1,HIGH
312,328,108,4,4.5,4,9.18,1,HIGH
313,311,107,4,4.5,4.5,9,1,HIGH
314,301,100,3,3.5,3,8.04,0,HIGH
315,305,105,2,3,4,8.13,0,HIGH
316,308,104,2,2.5,3,8.07,0,HIGH
317,298,101,2,1.5,2,7.86,0,HIGH
318,300,99,1,1,2.5,8.01,0,HIGH
319,324,111,3,2.5,2,8.8,1,HIGH
320,327,113,4,3.5,3,8.69,1,HIGH
321,317,106,3,4,3.5,8.5,1,HIGH
322,323,104,3,4,4,8.44,1,HIGH
323,314,107,2,2.5,4,8.27,0,HIGH
324,305,102,2,2,2.5,8.18,0,HIGH
325,315,104,3,3,2.5,8.33,0,HIGH
326,326,116,3,3.5,4,9.14,1,HIGH
327,299,100,3,2,2,8.02,0,HIGH
328,295,101,2,2.5,2,7.86,0,HIGH
329,324,112,4,4,3.5,8.77,1,HIGH
330,297,96,2,2.5,1.5,7.89,0,LOW
331,327,113,3,3.5,3,8.66,1,HIGH
332,311,105,2,3,2,8.12,1,HIGH
333,308,106,3,3.5,2.5,8.21,1,HIGH
334,319,108,3,3,3.5,8.54,1,HIGH
335,312,107,4,4.5,4,8.65,1,HIGH
336,325,111,4,4,4.5,9.11,1,HIGH
337,319,110,3,3,2.5,8.79,0,HIGH
338,332,118,5,5,5,9.47,1,HIGH
339,323,108,5,4,4,8.74,1,HIGH
340,324,107,5,3.5,4,8.66,1,HIGH
341,312,107,3,3,3,8.46,1,HIGH
342,326,110,3,3.5,3.5,8.76,1,HIGH
343,308,106,3,3,3,8.24,0,HIGH
344,305,103,2,2.5,3.5,8.13,0,HIGH
345,295,96,2,1.5,2,7.34,0,LOW
346,316,98,1,1.5,2,7.43,0,LOW
347,304,97,2,1.5,2,7.64,0,LOW
348,299,94,1,1,1,7.34,0,LOW
349,302,99,1,2,2,7.25,0,HIGH
350,313,101,3,2.5,3,8.04,0,HIGH
351,318,107,3,3,3.5,8.27,1,HIGH
352,325,110,4,3.5,4,8.67,1,HIGH
353,303,100,2,3,3.5,8.06,1,HIGH
354,300,102,3,3.5,2.5,8.17,0,HIGH
355,297,98,2,2.5,3,7.67,0,HIGH
356,317,106,2,2,3.5,8.12,0,HIGH
357,327,109,3,3.5,4,8.77,1,HIGH
358,301,104,2,3.5,3.5,7.89,1,HIGH
359,314,105,2,2.5,2,7.64,0,HIGH
360,321,107,2,2,1.5,8.44,0,HIGH
361,322,110,3,4,5,8.64,1,HIGH
362,334,116,4,4,3.5,9.54,1,HIGH
363,338,115,5,4.5,5,9.23,1,HIGH
364,306,103,2,2.5,3,8.36,0,HIGH
365,313,102,3,3.5,4,8.9,1,HIGH
366,330,114,4,4.5,3,9.17,1,HIGH
367,320,104,3,3.5,4.5,8.34,1,HIGH
368,311,98,1,1,2.5,7.46,0,HIGH
369,298,92,1,2,2,7.88,0,HIGH
370,301,98,1,2,3,8.03,1,HIGH
371,310,103,2,2.5,2.5,8.24,0,HIGH
372,324,110,3,3.5,3,9.22,1,HIGH
373,336,119,4,4.5,4,9.62,1,HIGH
374,321,109,3,3,3,8.54,1,HIGH
375,315,105,2,2,2.5,7.65,0,LOW
376,304,101,2,2,2.5,7.66,0,LOW
377,297,96,2,2.5,2,7.43,0,LOW
378,290,100,1,1.5,2,7.56,0,LOW
379,303,98,1,2,2.5,7.65,0,HIGH
380,311,99,1,2.5,3,8.43,1,HIGH
381,322,104,3,3.5,4,8.84,1,HIGH
382,319,105,3,3,3.5,8.67,1,HIGH
383,324,110,4,4.5,4,9.15,1,HIGH
384,300,100,3,3,3.5,8.26,0,HIGH
385,340,113,4,5,5,9.74,1,HIGH
386,335,117,5,5,5,9.82,1,HIGH
387,302,101,2,2.5,3.5,7.96,0,LOW
388,307,105,2,2,3.5,8.1,0,HIGH
389,296,97,2,1.5,2,7.8,0,LOW
390,320,108,3,3.5,4,8.44,1,HIGH
391,314,102,2,2,2.5,8.24,0,HIGH
392,318,106,3,2,3,8.65,0,HIGH
393,326,112,4,4,3.5,9.12,1,HIGH
394,317,104,2,3,3,8.76,0,HIGH
395,329,111,4,4.5,4,9.23,1,HIGH
396,324,110,3,3.5,3.5,9.04,1,HIGH
397,325,107,3,3,3.5,9.11,1,HIGH
398,330,116,4,5,4.5,9.45,1,HIGH
399,312,103,3,3.5,4,8.78,0,HIGH
400,333,117,4,5,4,9.66,1,HIGH
401,304,100,2,3.5,3,8.22,0,HIGH
402,315,105,2,3,3,8.34,0,HIGH
403,324,109,3,3.5,3,8.94,1,HIGH
404,330,116,4,4,3.5,9.23,1,HIGH
405,311,101,3,2,2.5,7.64,1,HIGH
406,302,99,3,2.5,3,7.45,0,HIGH
407,322,103,4,3,2.5,8.02,1,HIGH
408,298,100,3,2.5,4,7.95,1,HIGH
409,297,101,3,2,4,7.67,1,HIGH
410,300,98,1,2,2.5,8.02,0,HIGH
411,301,96,1,3,4,7.56,0,HIGH
412,313,94,2,2.5,1.5,8.13,0,HIGH
413,314,102,4,2.5,2,7.88,1,HIGH
414,317,101,3,3,2,7.94,1,LOW
415,321,110,4,3.5,4,8.35,1,HIGH
416,327,106,4,4,4.5,8.75,1,HIGH
417,315,104,3,4,2.5,8.1,0,HIGH
418,316,103,3,3.5,2,7.68,0,HIGH
419,309,111,2,2.5,4,8.03,0,HIGH
420,308,102,2,2,3.5,7.98,1,HIGH
421,299,100,3,2,3,7.42,0,LOW
422,321,112,3,3,4.5,8.95,1,HIGH
423,322,112,4,3.5,2.5,9.02,1,HIGH
424,334,119,5,4.5,5,9.54,1,HIGH
425,325,114,5,4,5,9.46,1,HIGH
426,323,111,5,4,5,9.86,1,HIGH
427,312,106,3,3,5,8.57,0,HIGH
428,310,101,3,3.5,5,8.65,1,HIGH
429,316,103,2,2,4.5,8.74,0,HIGH
430,340,115,5,5,4.5,9.06,1,HIGH
431,311,104,3,4,3.5,8.13,1,HIGH
432,320,112,2,3.5,3.5,8.78,1,HIGH
433,324,112,4,4.5,4,9.22,1,HIGH
434,316,111,4,4,5,8.54,0,HIGH
435,306,103,3,3.5,3,8.21,0,HIGH
436,309,105,2,2.5,4,7.68,0,HIGH
437,310,110,1,1.5,4,7.23,1,HIGH
438,317,106,1,1.5,3.5,7.65,1,HIGH
439,318,110,1,2.5,3.5,8.54,1,HIGH
440,312,105,2,1.5,3,8.46,0,HIGH
441,305,104,2,2.5,1.5,7.79,0,HIGH
442,332,112,1,1.5,3,8.66,1,HIGH
443,331,116,4,4.5,4.5,9.44,1,HIGH
444,321,114,5,4.5,4.5,9.16,1,HIGH
445,324,113,5,4,5,9.25,1,HIGH
446,328,116,5,4.5,5,9.08,1,HIGH
447,327,118,4,5,5,9.67,1,HIGH
448,320,108,3,3.5,5,8.97,1,HIGH
449,312,109,2,2.5,4,9.02,0,HIGH
450,315,101,3,3.5,4.5,9.13,0,HIGH
451,320,112,4,3,4.5,8.86,1,HIGH
452,324,113,4,4.5,4.5,9.25,1,HIGH
453,328,116,4,5,3.5,9.6,1,HIGH
454,319,103,3,2.5,4,8.76,1,HIGH
455,310,105,2,3,3.5,8.01,0,HIGH
456,305,102,2,1.5,2.5,7.64,0,HIGH
457,299,100,2,2,2,7.88,0,HIGH
458,295,99,1,2,1.5,7.57,0,LOW
459,312,100,1,3,3,8.53,1,HIGH
460,329,113,4,4,3.5,9.36,1,HIGH
461,319,105,4,4,4.5,8.66,1,HIGH
462,301,102,3,2.5,2,8.13,1,HIGH
463,307,105,4,3,3,7.94,0,HIGH
464,304,107,3,3.5,3,7.86,0,HIGH
465,298,97,2,2,3,7.21,0,LOW
466,305,96,4,3,4.5,8.26,0,HIGH
467,314,99,4,3.5,4.5,8.73,1,HIGH
468,318,101,5,3.5,5,8.78,1,HIGH
469,323,110,4,4,5,8.88,1,HIGH
470,326,114,4,4,3.5,9.16,1,HIGH
471,320,110,5,4,4,9.27,1,HIGH
472,311,103,3,2,4,8.09,0,HIGH
473,327,116,4,4,4.5,9.48,1,HIGH
474,316,102,2,4,3.5,8.15,0,HIGH
475,308,105,4,3,2.5,7.95,1,HIGH
476,300,101,3,3.5,2.5,7.88,0,HIGH
477,304,104,3,2.5,2,8.12,0,HIGH
478,309,105,4,3.5,2,8.18,0,HIGH
479,318,103,3,4,4.5,8.49,1,HIGH
480,325,110,4,4.5,4,8.96,1,HIGH
481,321,102,3,3.5,4,9.01,1,HIGH
482,323,107,4,3,2.5,8.48,1,HIGH
483,328,113,4,4,2.5,8.77,1,HIGH
484,304,103,5,5,3,7.92,0,HIGH
485,317,106,3,3.5,3,7.89,1,HIGH
486,311,101,2,2.5,3.5,8.34,1,HIGH
487,319,102,3,2.5,2.5,8.37,0,HIGH
488,327,115,4,3.5,4,9.14,0,HIGH
489,322,112,3,3,4,8.62,1,HIGH
490,302,110,3,4,4.5,8.5,0,HIGH
491,307,105,2,2.5,4.5,8.12,1,HIGH
492,297,99,4,3,3.5,7.81,0,HIGH
493,298,101,4,2.5,4.5,7.69,1,HIGH
494,300,95,2,3,1.5,8.22,1,HIGH
495,301,99,3,2.5,2,8.45,1,HIGH
496,332,108,5,4.5,4,9.02,1,HIGH
497,337,117,5,5,5,9.87,1,HIGH
498,330,120,5,4.5,5,9.56,1,HIGH
499,312,103,4,4,5,8.43,0,HIGH
500,327,113,4,4.5,4.5,9.04,0,HIGH
